Start time:0.1206922
Time:0.2215061 Axis vector:(0.3, -0.6) Thumbrotation:155.94
Time:0.328325 Axis vector:(0.6, 0.0) Thumbrotation:93.45972
Time:0.4866466 Axis vector:(0.5, 0.6) Thumbrotation:37.75391
Time:0.5966825 Axis vector:(0.3, 0.6) Thumbrotation:26.66494
Time:0.6968932 Axis vector:(0.2, 0.7) Thumbrotation:16.80055
Time:0.7976828 Axis vector:(0.1, 0.7) Thumbrotation:9.292083
Time:0.8980781 Axis vector:(0.0, 0.7) Thumbrotation:2.648189
Time:0.9985926 Axis vector:(0.0, 0.8) Thumbrotation:1.242853
Time:1.099068 Axis vector:(0.0, 0.8) Thumbrotation:1.082455
Time:1.199676 Axis vector:(0.0, 0.8) Thumbrotation:1.035143
Time:1.300006 Axis vector:(0.0, 0.8) Thumbrotation:1.020675
Time:1.400855 Axis vector:(0.0, 0.8) Thumbrotation:1.012011
Time:1.501536 Axis vector:(0.0, 0.8) Thumbrotation:1.014714
Time:1.601851 Axis vector:(0.0, 0.7) Thumbrotation:1.022207
Time:1.702277 Axis vector:(0.0, 0.7) Thumbrotation:1.019524
Time:1.802848 Axis vector:(0.0, 0.7) Thumbrotation:0.9669209
Time:1.903254 Axis vector:(0.0, 0.7) Thumbrotation:0.9272513
Time:2.003865 Axis vector:(0.0, 0.7) Thumbrotation:0.8884541
Time:2.104375 Axis vector:(0.0, 0.7) Thumbrotation:0.8566085
Time:2.204984 Axis vector:(0.0, 0.7) Thumbrotation:0.8383681
Time:2.30536 Axis vector:(0.0, 0.7) Thumbrotation:0.8357967
Time:2.406345 Axis vector:(0.0, 0.7) Thumbrotation:0.8490367
Time:2.506602 Axis vector:(0.0, 0.7) Thumbrotation:0.8609378
Time:2.607057 Axis vector:(0.0, 0.7) Thumbrotation:0.8717791
Time:2.707927 Axis vector:(0.0, 0.7) Thumbrotation:0.9297802
Time:2.808051 Axis vector:(0.0, 0.7) Thumbrotation:1.230193
Time:2.908644 Axis vector:(0.0, 0.7) Thumbrotation:2.210366
Time:3.009063 Axis vector:(0.0, 0.7) Thumbrotation:2.789866
Time:3.109748 Axis vector:(0.0, 0.7) Thumbrotation:3.280501
Time:3.209987 Axis vector:(0.0, 0.7) Thumbrotation:4.151147
Time:3.310588 Axis vector:(0.1, 0.7) Thumbrotation:4.622071
Time:3.411083 Axis vector:(0.1, 0.7) Thumbrotation:4.894569
Time:3.511904 Axis vector:(0.1, 0.7) Thumbrotation:5.237458
Time:3.612221 Axis vector:(0.1, 0.7) Thumbrotation:5.530241
Time:3.712666 Axis vector:(0.1, 0.7) Thumbrotation:5.670222
Time:3.813287 Axis vector:(0.1, 0.7) Thumbrotation:5.795015
Time:3.914158 Axis vector:(0.1, 0.7) Thumbrotation:5.90923
Time:4.014503 Axis vector:(0.1, 0.7) Thumbrotation:5.983729
Time:4.114868 Axis vector:(0.1, 0.7) Thumbrotation:6.003876
Time:4.215287 Axis vector:(0.1, 0.6) Thumbrotation:5.993745
Time:4.316007 Axis vector:(0.1, 0.6) Thumbrotation:5.957365
Time:4.416446 Axis vector:(0.1, 0.6) Thumbrotation:5.890158
Time:4.51719 Axis vector:(0.1, 0.6) Thumbrotation:5.782656
Time:4.617417 Axis vector:(0.1, 0.6) Thumbrotation:5.735452
Time:4.717916 Axis vector:(0.1, 0.6) Thumbrotation:5.701211
Time:4.818521 Axis vector:(0.1, 0.6) Thumbrotation:5.695364
Time:4.919337 Axis vector:(0.1, 0.6) Thumbrotation:5.700008
Time:5.019819 Axis vector:(0.1, 0.6) Thumbrotation:5.732102
Time:5.120541 Axis vector:(0.1, 0.6) Thumbrotation:5.761127
Time:5.221098 Axis vector:(0.1, 0.6) Thumbrotation:5.769423
Time:5.321158 Axis vector:(0.1, 0.6) Thumbrotation:5.78723
Time:5.421788 Axis vector:(0.1, 0.6) Thumbrotation:5.80039
Time:5.522305 Axis vector:(0.1, 0.6) Thumbrotation:5.805018
Time:5.622672 Axis vector:(0.1, 0.6) Thumbrotation:5.791733
Time:5.723365 Axis vector:(0.1, 0.6) Thumbrotation:5.753297
Time:5.823969 Axis vector:(0.1, 0.6) Thumbrotation:5.677925
Time:5.924549 Axis vector:(0.1, 0.6) Thumbrotation:5.583635
Time:6.024858 Axis vector:(0.1, 0.6) Thumbrotation:5.477686
Time:6.12533 Axis vector:(0.1, 0.6) Thumbrotation:5.438875
Time:6.225992 Axis vector:(0.1, 0.6) Thumbrotation:5.405083
Time:6.326685 Axis vector:(0.1, 0.6) Thumbrotation:5.236598
Time:6.427215 Axis vector:(0.1, 0.6) Thumbrotation:5.008833
Time:6.527461 Axis vector:(0.1, 0.6) Thumbrotation:4.749328
Time:6.628156 Axis vector:(0.0, 0.6) Thumbrotation:2.520725
Time:6.728731 Axis vector:(-0.2, 0.5) Thumbrotation:-16.06119
Time:6.829222 Axis vector:(-0.4, 0.4) Thumbrotation:-44.95456
Time:6.929929 Axis vector:(-0.5, 0.3) Thumbrotation:-58.77078
Time:7.030557 Axis vector:(-0.6, 0.2) Thumbrotation:-69.59779
Time:7.130821 Axis vector:(-0.7, 0.0) Thumbrotation:-87.30522
Time:7.23149 Axis vector:(-0.7, -0.1) Thumbrotation:-101.9696
Time:7.33171 Axis vector:(-0.7, -0.2) Thumbrotation:-105.7615
Time:7.432551 Axis vector:(-0.7, -0.2) Thumbrotation:-109.277
Time:7.533095 Axis vector:(-0.6, -0.2) Thumbrotation:-111.7003
Time:7.633689 Axis vector:(-0.6, -0.2) Thumbrotation:-105.1998
Time:7.734 Axis vector:(-0.6, -0.1) Thumbrotation:-102.9032
Time:7.834328 Axis vector:(-0.6, -0.1) Thumbrotation:-101.4991
Time:7.935183 Axis vector:(-0.6, -0.1) Thumbrotation:-101.0131
Time:8.035704 Axis vector:(-0.6, -0.1) Thumbrotation:-100.7521
Time:8.136007 Axis vector:(-0.6, -0.1) Thumbrotation:-100.6638
Time:8.236575 Axis vector:(-0.6, -0.1) Thumbrotation:-100.7197
Time:8.337153 Axis vector:(-0.6, -0.1) Thumbrotation:-100.8196
Time:8.438036 Axis vector:(-0.6, -0.1) Thumbrotation:-100.9378
Time:8.538284 Axis vector:(-0.6, -0.1) Thumbrotation:-101.0463
Time:8.638738 Axis vector:(-0.6, -0.1) Thumbrotation:-101.191
Time:8.73919 Axis vector:(-0.6, -0.1) Thumbrotation:-101.2844
Time:8.840117 Axis vector:(-0.6, -0.1) Thumbrotation:-101.3858
Time:8.940228 Axis vector:(-0.6, -0.1) Thumbrotation:-101.4656
Time:9.040816 Axis vector:(-0.6, -0.1) Thumbrotation:-101.4877
Time:9.141189 Axis vector:(-0.6, -0.1) Thumbrotation:-101.4898
Time:9.241693 Axis vector:(-0.6, -0.1) Thumbrotation:-101.4145
Time:9.342353 Axis vector:(-0.6, -0.1) Thumbrotation:-101.1663
Time:9.443054 Axis vector:(-0.6, -0.1) Thumbrotation:-100.9648
Time:9.543402 Axis vector:(-0.6, -0.1) Thumbrotation:-100.8392
Time:9.643834 Axis vector:(-0.6, -0.1) Thumbrotation:-100.7626
Time:9.74457 Axis vector:(-0.6, -0.1) Thumbrotation:-100.6979
Time:9.844852 Axis vector:(-0.6, -0.1) Thumbrotation:-100.6239
Time:9.945527 Axis vector:(-0.6, -0.1) Thumbrotation:-100.5579
Time:10.04644 Axis vector:(-0.6, -0.1) Thumbrotation:-100.5174
Time:10.14679 Axis vector:(-0.6, -0.1) Thumbrotation:-100.4877
Time:10.24703 Axis vector:(-0.6, -0.1) Thumbrotation:-100.5095
Time:10.3476 Axis vector:(-0.6, -0.1) Thumbrotation:-100.6201
Time:10.44815 Axis vector:(-0.6, -0.1) Thumbrotation:-100.7628
Time:10.5487 Axis vector:(-0.6, -0.1) Thumbrotation:-100.8716
Time:10.64904 Axis vector:(-0.6, -0.1) Thumbrotation:-100.9685
Time:10.74975 Axis vector:(-0.6, -0.1) Thumbrotation:-101.089
Time:10.85035 Axis vector:(-0.6, -0.1) Thumbrotation:-101.3045
Time:13.68769 Axis vector:(-0.4, 0.1) Thumbrotation:-72.90009
Time:13.7878 Axis vector:(-0.3, 0.2) Thumbrotation:-64.63091
Time:13.88831 Axis vector:(-0.3, 0.2) Thumbrotation:-51.70682
Time:13.9891 Axis vector:(-0.2, 0.2) Thumbrotation:-47.60553
Time:14.08936 Axis vector:(-0.2, 0.3) Thumbrotation:-39.42496
Time:14.18994 Axis vector:(-0.2, 0.3) Thumbrotation:-31.58862
Time:14.29038 Axis vector:(-0.2, 0.3) Thumbrotation:-30.07567
Time:14.39099 Axis vector:(-0.2, 0.3) Thumbrotation:-29.80299
Time:14.49161 Axis vector:(-0.2, 0.3) Thumbrotation:-26.18393
Time:14.5927 Axis vector:(-0.1, 0.4) Thumbrotation:-22.77762
Time:14.69273 Axis vector:(-0.1, 0.4) Thumbrotation:-21.32745
Time:14.79323 Axis vector:(-0.1, 0.3) Thumbrotation:-21.07682
Time:14.89404 Axis vector:(-0.1, 0.3) Thumbrotation:-21.02902
Time:14.99415 Axis vector:(-0.1, 0.3) Thumbrotation:-21.03702
Time:15.09492 Axis vector:(-0.1, 0.3) Thumbrotation:-21.05046
Time:15.19549 Axis vector:(-0.1, 0.3) Thumbrotation:-21.05838
Time:15.29563 Axis vector:(-0.1, 0.3) Thumbrotation:-21.06455
Time:15.39637 Axis vector:(-0.1, 0.3) Thumbrotation:-21.13914
Time:15.49705 Axis vector:(-0.1, 0.3) Thumbrotation:-21.26993
Time:15.59775 Axis vector:(-0.1, 0.3) Thumbrotation:-21.46208
Time:15.69816 Axis vector:(-0.1, 0.3) Thumbrotation:-21.62255
Time:15.79858 Axis vector:(-0.1, 0.3) Thumbrotation:-21.73884
Time:15.89893 Axis vector:(-0.1, 0.3) Thumbrotation:-21.85635
Time:15.9994 Axis vector:(-0.1, 0.3) Thumbrotation:-21.95391
Time:16.1005 Axis vector:(-0.1, 0.3) Thumbrotation:-21.95391
Time:16.21181 Axis vector:(-0.1, 0.3) Thumbrotation:-22.02893
Time:16.31231 Axis vector:(-0.1, 0.3) Thumbrotation:-22.10502
