Start time:0.1739149
Time:3.616164 Axis vector:(-0.8, 0.6) Thumbrotation:-49.5224
Time:3.717104 Axis vector:(-0.8, 0.6) Thumbrotation:-50.06097
Time:3.817333 Axis vector:(-0.8, 0.6) Thumbrotation:-50.68667
Time:3.917798 Axis vector:(-0.8, 0.6) Thumbrotation:-51.05165
Time:4.018377 Axis vector:(-0.8, 0.6) Thumbrotation:-51.28372
Time:4.11894 Axis vector:(-0.8, 0.6) Thumbrotation:-51.44659
Time:4.219437 Axis vector:(-0.8, 0.6) Thumbrotation:-51.49079
Time:4.31988 Axis vector:(-0.8, 0.6) Thumbrotation:-51.49079
Time:4.42069 Axis vector:(-0.8, 0.6) Thumbrotation:-51.49079
Time:4.520973 Axis vector:(-0.8, 0.6) Thumbrotation:-51.49079
Time:4.62158 Axis vector:(-0.8, 0.6) Thumbrotation:-51.49079
Time:4.721998 Axis vector:(-0.8, 0.6) Thumbrotation:-51.49079
Time:4.822551 Axis vector:(-0.8, 0.6) Thumbrotation:-51.49079
Time:4.923374 Axis vector:(-0.8, 0.6) Thumbrotation:-51.49079
Time:5.0237 Axis vector:(-0.8, 0.6) Thumbrotation:-51.49079
Time:5.124236 Axis vector:(-0.8, 0.6) Thumbrotation:-51.49079
Time:5.224674 Axis vector:(-0.8, 0.6) Thumbrotation:-51.49079
Time:5.325255 Axis vector:(-0.8, 0.6) Thumbrotation:-51.49079
Time:5.425779 Axis vector:(-0.8, 0.6) Thumbrotation:-51.49079
Time:5.526189 Axis vector:(-0.8, 0.6) Thumbrotation:-51.49079
Time:5.62681 Axis vector:(-0.8, 0.6) Thumbrotation:-51.49079
Time:5.728127 Axis vector:(-0.8, 0.6) Thumbrotation:-51.49079
Time:5.839421 Axis vector:(-0.8, 0.6) Thumbrotation:-51.49079
Time:5.939456 Axis vector:(-0.8, 0.6) Thumbrotation:-51.49079
Time:6.040105 Axis vector:(-0.8, 0.6) Thumbrotation:-51.4987
Time:6.140642 Axis vector:(-0.8, 0.6) Thumbrotation:-51.55752
Time:6.241161 Axis vector:(-0.8, 0.6) Thumbrotation:-51.58712
Time:6.341619 Axis vector:(-0.8, 0.6) Thumbrotation:-51.61636
Time:6.442253 Axis vector:(-0.8, 0.6) Thumbrotation:-51.63515
Time:6.542598 Axis vector:(-0.8, 0.6) Thumbrotation:-51.65538
Time:6.643422 Axis vector:(-0.8, 0.6) Thumbrotation:-51.68525
Time:6.743904 Axis vector:(-0.8, 0.6) Thumbrotation:-51.71987
Time:6.84433 Axis vector:(-0.8, 0.6) Thumbrotation:-51.75352
Time:6.94498 Axis vector:(-0.8, 0.6) Thumbrotation:-51.79155
Time:7.045388 Axis vector:(-0.8, 0.6) Thumbrotation:-51.801
Time:7.145815 Axis vector:(-0.8, 0.6) Thumbrotation:-51.80706
Time:7.24632 Axis vector:(-0.8, 0.6) Thumbrotation:-51.81801
Time:7.34709 Axis vector:(-0.8, 0.6) Thumbrotation:-51.83515
Time:7.447598 Axis vector:(-0.8, 0.6) Thumbrotation:-51.85286
Time:7.547785 Axis vector:(-0.8, 0.6) Thumbrotation:-51.8625
Time:7.648424 Axis vector:(-0.8, 0.6) Thumbrotation:-51.8625
Time:7.748936 Axis vector:(-0.8, 0.6) Thumbrotation:-51.8625
Time:7.849613 Axis vector:(-0.8, 0.6) Thumbrotation:-51.8625
Time:7.949901 Axis vector:(-0.8, 0.6) Thumbrotation:-51.8625
Time:8.050497 Axis vector:(-0.8, 0.6) Thumbrotation:-51.84514
Time:8.151025 Axis vector:(-0.8, 0.6) Thumbrotation:-51.82528
Time:8.251761 Axis vector:(-0.8, 0.6) Thumbrotation:-51.81827
Time:8.35206 Axis vector:(-0.8, 0.6) Thumbrotation:-51.82524
Time:8.452669 Axis vector:(-0.8, 0.6) Thumbrotation:-51.83822
Time:8.553335 Axis vector:(-0.8, 0.6) Thumbrotation:-51.85281
Time:8.653896 Axis vector:(-0.8, 0.6) Thumbrotation:-51.86767
Time:8.7543 Axis vector:(-0.8, 0.6) Thumbrotation:-51.86417
Time:8.854744 Axis vector:(-0.8, 0.6) Thumbrotation:-51.83693
Time:8.955433 Axis vector:(-0.8, 0.6) Thumbrotation:-51.82274
Time:9.0558 Axis vector:(-0.8, 0.6) Thumbrotation:-51.77076
Time:9.156561 Axis vector:(-0.8, 0.6) Thumbrotation:-51.65635
Time:9.257174 Axis vector:(-0.8, 0.6) Thumbrotation:-51.62836
Time:9.357521 Axis vector:(-0.8, 0.6) Thumbrotation:-51.6444
Time:9.458071 Axis vector:(-0.8, 0.6) Thumbrotation:-51.6815
Time:9.558499 Axis vector:(-0.8, 0.6) Thumbrotation:-51.71788
Time:9.659059 Axis vector:(-0.8, 0.6) Thumbrotation:-51.75404
Time:9.759595 Axis vector:(-0.8, 0.6) Thumbrotation:-51.79433
Time:9.860314 Axis vector:(-0.8, 0.6) Thumbrotation:-51.7997
Time:9.960687 Axis vector:(-0.8, 0.6) Thumbrotation:-51.7997
Time:10.06112 Axis vector:(-0.8, 0.6) Thumbrotation:-51.7997
Time:10.16163 Axis vector:(-0.8, 0.6) Thumbrotation:-51.7997
Time:10.26233 Axis vector:(-0.8, 0.6) Thumbrotation:-51.7997
Time:10.36287 Axis vector:(-0.8, 0.6) Thumbrotation:-51.7997
Time:10.46334 Axis vector:(-0.8, 0.6) Thumbrotation:-51.7997
Time:10.56374 Axis vector:(-0.8, 0.6) Thumbrotation:-51.7997
Time:10.66441 Axis vector:(-0.8, 0.6) Thumbrotation:-51.7997
Time:10.76494 Axis vector:(-0.8, 0.6) Thumbrotation:-51.7997
Time:10.86538 Axis vector:(-0.8, 0.6) Thumbrotation:-51.7997
Time:10.96618 Axis vector:(-0.8, 0.6) Thumbrotation:-51.7997
Time:11.06687 Axis vector:(-0.8, 0.6) Thumbrotation:-51.78999
Time:11.16714 Axis vector:(-0.8, 0.6) Thumbrotation:-51.78166
Time:11.26746 Axis vector:(-0.8, 0.6) Thumbrotation:-51.78674
Time:11.368 Axis vector:(-0.8, 0.6) Thumbrotation:-51.78847
Time:11.46866 Axis vector:(-0.8, 0.6) Thumbrotation:-51.73277
Time:11.56918 Axis vector:(-0.8, 0.6) Thumbrotation:-51.66386
Time:11.66959 Axis vector:(-0.8, 0.6) Thumbrotation:-51.6475
Time:11.77012 Axis vector:(-0.8, 0.6) Thumbrotation:-51.66466
Time:11.87046 Axis vector:(-0.8, 0.6) Thumbrotation:-51.69377
Time:11.97115 Axis vector:(-0.8, 0.6) Thumbrotation:-51.66952
Time:12.07171 Axis vector:(-0.8, 0.5) Thumbrotation:-57.71391
Time:12.17229 Axis vector:(-0.4, 0.2) Thumbrotation:-57.60836
Time:12.273 Axis vector:(-0.1, 0.4) Thumbrotation:-17.88355
Time:12.37314 Axis vector:(-0.1, 0.4) Thumbrotation:-11.17547
Time:12.4738 Axis vector:(0.0, 0.4) Thumbrotation:-0.02797646
Time:12.57435 Axis vector:(0.1, 0.4) Thumbrotation:7.324104
Time:12.67477 Axis vector:(-0.1, 0.3) Thumbrotation:-14.08
Time:12.77551 Axis vector:(-0.1, 0.3) Thumbrotation:-21.56341
Time:12.87607 Axis vector:(-0.1, 0.4) Thumbrotation:-16.31587
Time:12.97649 Axis vector:(0.0, 0.3) Thumbrotation:-7.07052
Time:13.27795 Axis vector:(0.1, -0.8) Thumbrotation:171.4444
Time:13.37848 Axis vector:(0.2, -0.3) Thumbrotation:150.7466
Time:13.47917 Axis vector:(0.2, 0.3) Thumbrotation:33.67269
Time:13.57952 Axis vector:(0.1, 0.7) Thumbrotation:5.422963
Time:13.68014 Axis vector:(0.1, 0.8) Thumbrotation:5.161752
Time:13.7806 Axis vector:(0.0, 0.8) Thumbrotation:3.021743
Time:13.88124 Axis vector:(0.0, 0.8) Thumbrotation:-1.137116
Time:13.9817 Axis vector:(-0.1, 0.8) Thumbrotation:-5.647467
Time:14.08223 Axis vector:(-0.1, 0.8) Thumbrotation:-8.406978
Time:14.18272 Axis vector:(-0.1, 0.8) Thumbrotation:-9.486698
Time:14.28321 Axis vector:(-0.1, 0.8) Thumbrotation:-9.812675
Time:14.3845 Axis vector:(-0.1, 0.8) Thumbrotation:-9.920874
Time:14.49553 Axis vector:(-0.1, 0.8) Thumbrotation:-9.981504
Time:14.59602 Axis vector:(-0.1, 0.8) Thumbrotation:-10.02022
Time:14.69676 Axis vector:(-0.1, 0.8) Thumbrotation:-10.03258
Time:14.79711 Axis vector:(-0.1, 0.8) Thumbrotation:-10.04461
Time:14.89759 Axis vector:(-0.1, 0.8) Thumbrotation:-10.05995
Time:14.99827 Axis vector:(-0.2, 0.8) Thumbrotation:-10.09257
Time:15.09868 Axis vector:(-0.2, 0.8) Thumbrotation:-10.09237
Time:15.19933 Axis vector:(-0.2, 0.8) Thumbrotation:-10.10904
Time:15.29962 Axis vector:(-0.2, 0.8) Thumbrotation:-10.14055
Time:15.4002 Axis vector:(-0.2, 0.8) Thumbrotation:-10.10363
Time:15.50088 Axis vector:(-0.2, 0.8) Thumbrotation:-10.0604
Time:15.60147 Axis vector:(-0.2, 0.8) Thumbrotation:-10.1217
Time:15.70237 Axis vector:(-0.2, 0.8) Thumbrotation:-10.27789
Time:15.80238 Axis vector:(-0.2, 0.8) Thumbrotation:-10.70487
Time:15.9032 Axis vector:(-0.2, 0.8) Thumbrotation:-11.64422
Time:16.00342 Axis vector:(-0.2, 0.8) Thumbrotation:-13.23351
Time:16.10394 Axis vector:(-0.2, 0.8) Thumbrotation:-13.03324
Time:16.20449 Axis vector:(-0.2, 0.7) Thumbrotation:-12.98949
Time:16.90809 Axis vector:(-0.8, 0.7) Thumbrotation:-49.31329
Time:17.00872 Axis vector:(-0.8, 0.7) Thumbrotation:-49.25404
Time:17.21271 Axis vector:(-0.4, 0.8) Thumbrotation:-25.7386
Time:17.32136 Axis vector:(-0.4, 0.8) Thumbrotation:-25.71965
Time:17.42182 Axis vector:(-0.4, 0.7) Thumbrotation:-25.87111
Time:17.52238 Axis vector:(-0.4, 0.7) Thumbrotation:-26.0403
Time:17.62304 Axis vector:(-0.4, 0.7) Thumbrotation:-25.05538
Time:17.72351 Axis vector:(-0.3, 0.8) Thumbrotation:-23.40778
Time:17.82394 Axis vector:(-0.3, 0.8) Thumbrotation:-21.17043
Time:17.92448 Axis vector:(-0.3, 0.8) Thumbrotation:-18.75951
Time:18.02514 Axis vector:(-0.3, 0.8) Thumbrotation:-17.99586
Time:18.12561 Axis vector:(-0.2, 0.8) Thumbrotation:-17.72351
Time:18.22621 Axis vector:(-0.2, 0.8) Thumbrotation:-17.61255
Time:18.32675 Axis vector:(-0.2, 0.7) Thumbrotation:-17.56868
Time:18.42756 Axis vector:(-0.2, 0.7) Thumbrotation:-17.61628
Time:18.52769 Axis vector:(-0.2, 0.7) Thumbrotation:-17.56203
Time:18.62825 Axis vector:(-0.2, 0.7) Thumbrotation:-17.39729
Time:18.72882 Axis vector:(-0.2, 0.8) Thumbrotation:-17.20719
Time:18.82926 Axis vector:(-0.2, 0.8) Thumbrotation:-17.0443
Time:18.92981 Axis vector:(-0.2, 0.8) Thumbrotation:-16.88429
Time:19.0304 Axis vector:(-0.2, 0.8) Thumbrotation:-16.81866
Time:19.13103 Axis vector:(-0.2, 0.8) Thumbrotation:-16.78292
Time:19.23174 Axis vector:(-0.2, 0.8) Thumbrotation:-16.78762
Time:19.33204 Axis vector:(-0.2, 0.8) Thumbrotation:-16.84277
Time:19.43264 Axis vector:(-0.2, 0.8) Thumbrotation:-16.91163
Time:19.53318 Axis vector:(-0.2, 0.8) Thumbrotation:-16.99282
Time:19.63382 Axis vector:(-0.2, 0.8) Thumbrotation:-17.07417
Time:19.73405 Axis vector:(-0.2, 0.7) Thumbrotation:-17.11211
Time:19.83482 Axis vector:(-0.2, 0.7) Thumbrotation:-17.15865
Time:19.93567 Axis vector:(-0.2, 0.7) Thumbrotation:-17.17675
Time:20.03584 Axis vector:(-0.2, 0.7) Thumbrotation:-17.1406
Time:20.13618 Axis vector:(-0.2, 0.7) Thumbrotation:-17.03638
Time:20.23676 Axis vector:(-0.2, 0.7) Thumbrotation:-16.90619
Time:20.33725 Axis vector:(-0.2, 0.7) Thumbrotation:-16.80826
Time:20.4378 Axis vector:(-0.2, 0.8) Thumbrotation:-16.74639
Time:20.53868 Axis vector:(-0.2, 0.8) Thumbrotation:-16.67257
Time:20.63884 Axis vector:(-0.2, 0.8) Thumbrotation:-16.62595
Time:20.73936 Axis vector:(-0.2, 0.8) Thumbrotation:-16.66133
Time:20.84005 Axis vector:(-0.2, 0.7) Thumbrotation:-16.80559
Time:20.94036 Axis vector:(-0.2, 0.7) Thumbrotation:-16.56574
Time:21.04098 Axis vector:(-0.2, 0.7) Thumbrotation:-13.81662
Time:21.14152 Axis vector:(-0.1, 0.7) Thumbrotation:-8.815991
Time:21.24209 Axis vector:(-0.1, 0.7) Thumbrotation:-7.608677
Time:21.34251 Axis vector:(-0.1, 0.7) Thumbrotation:-7.162892
Time:21.44299 Axis vector:(-0.1, 0.6) Thumbrotation:-6.827254
Time:21.54356 Axis vector:(-0.1, 0.6) Thumbrotation:-6.658822
Time:21.64406 Axis vector:(-0.1, 0.6) Thumbrotation:-6.551943
Time:21.74462 Axis vector:(-0.1, 0.6) Thumbrotation:-6.483012
Time:21.84514 Axis vector:(-0.1, 0.6) Thumbrotation:-6.4828
Time:21.9457 Axis vector:(-0.1, 0.6) Thumbrotation:-6.8451
Time:22.04646 Axis vector:(-0.1, 0.6) Thumbrotation:-7.394331
Time:22.14681 Axis vector:(-0.1, 0.6) Thumbrotation:-7.883166
Time:22.24737 Axis vector:(-0.1, 0.6) Thumbrotation:-8.197955
Time:22.34775 Axis vector:(-0.1, 0.6) Thumbrotation:-8.528689
