Time:246.1747 Axis vector:(0.0, 0.7) Thumbrotation:2.721964
Time:246.2825 Axis vector:(0.0, 0.7) Thumbrotation:2.704216
Time:246.383 Axis vector:(0.0, 0.7) Thumbrotation:2.658664
Time:246.4835 Axis vector:(0.0, 0.6) Thumbrotation:2.652546
Time:246.5859 Axis vector:(0.0, 0.6) Thumbrotation:2.484513
Time:246.6958 Axis vector:(0.0, 0.6) Thumbrotation:2.155495
Time:246.7963 Axis vector:(0.0, 0.6) Thumbrotation:1.965231
Time:246.8972 Axis vector:(0.0, 0.6) Thumbrotation:2.004084
Time:246.9973 Axis vector:(0.0, 0.6) Thumbrotation:2.278729
Time:247.0983 Axis vector:(0.0, 0.6) Thumbrotation:2.599626
Time:247.1983 Axis vector:(0.0, 0.6) Thumbrotation:2.818973
Time:247.299 Axis vector:(0.0, 0.6) Thumbrotation:2.913427
Time:247.3994 Axis vector:(0.0, 0.6) Thumbrotation:2.831859
Time:247.5 Axis vector:(0.0, 0.6) Thumbrotation:2.137258
Time:247.6004 Axis vector:(0.0, 0.6) Thumbrotation:1.467138
Time:247.7011 Axis vector:(0.0, 0.6) Thumbrotation:0.6324196
Time:247.8016 Axis vector:(0.0, 0.6) Thumbrotation:-0.1769387
Time:247.9021 Axis vector:(0.0, 0.6) Thumbrotation:-0.386643
Time:248.0028 Axis vector:(0.0, 0.6) Thumbrotation:-0.1235407
Time:248.1034 Axis vector:(0.0, 0.6) Thumbrotation:-0.05595291
Time:248.2037 Axis vector:(0.0, 0.6) Thumbrotation:-0.05233916
Time:248.3041 Axis vector:(0.0, 0.6) Thumbrotation:0.04423466
Time:248.4047 Axis vector:(0.0, 0.6) Thumbrotation:0.2036718
Time:248.5054 Axis vector:(0.0, 0.6) Thumbrotation:0.7214502
Time:248.6057 Axis vector:(0.0, 0.6) Thumbrotation:1.324856
Time:248.7064 Axis vector:(0.0, 0.6) Thumbrotation:1.703987
Time:248.8068 Axis vector:(0.0, 0.6) Thumbrotation:2.09947
Time:248.9076 Axis vector:(0.0, 0.6) Thumbrotation:2.180591
Time:249.0079 Axis vector:(0.0, 0.6) Thumbrotation:1.992232
Time:249.1086 Axis vector:(0.0, 0.6) Thumbrotation:1.628107
Time:249.2089 Axis vector:(0.0, 0.6) Thumbrotation:1.360994
Time:249.3155 Axis vector:(0.0, 0.6) Thumbrotation:1.15606
Time:249.4212 Axis vector:(0.0, 0.6) Thumbrotation:1.022207
Time:249.5215 Axis vector:(0.0, 0.6) Thumbrotation:0.866827
Time:249.6222 Axis vector:(0.0, 0.6) Thumbrotation:0.6667597
Time:249.7226 Axis vector:(0.0, 0.7) Thumbrotation:0.5008504
