Time:136.7175 Axis vector:(-0.4, -0.4) Thumbrotation:-131.9231
Time:136.8277 Axis vector:(-0.4, -0.4) Thumbrotation:-132.0353
Time:136.9286 Axis vector:(-0.4, -0.4) Thumbrotation:-132.1361
Time:137.0292 Axis vector:(-0.4, -0.4) Thumbrotation:-132.2681
Time:137.1306 Axis vector:(-0.4, -0.4) Thumbrotation:-132.4371
Time:137.2307 Axis vector:(-0.4, -0.4) Thumbrotation:-132.5717
Time:137.3309 Axis vector:(-0.4, -0.4) Thumbrotation:-132.6923
Time:137.4325 Axis vector:(-0.4, -0.4) Thumbrotation:-132.7467
Time:137.5432 Axis vector:(-0.4, -0.4) Thumbrotation:-132.7612
Time:137.6433 Axis vector:(-0.4, -0.4) Thumbrotation:-132.757
Time:137.7438 Axis vector:(-0.4, -0.4) Thumbrotation:-132.7219
Time:137.8446 Axis vector:(-0.4, -0.4) Thumbrotation:-132.6623
Time:137.9484 Axis vector:(-0.4, -0.4) Thumbrotation:-132.6202
Time:138.0565 Axis vector:(-0.4, -0.4) Thumbrotation:-132.6339
Time:138.157 Axis vector:(-0.4, -0.4) Thumbrotation:-132.6642
Time:138.2576 Axis vector:(-0.4, -0.4) Thumbrotation:-132.7252
Time:138.359 Axis vector:(-0.4, -0.4) Thumbrotation:-132.8394
Time:138.47 Axis vector:(-0.4, -0.4) Thumbrotation:-132.9366
Time:138.5703 Axis vector:(-0.4, -0.4) Thumbrotation:-133.0053
Time:138.6709 Axis vector:(-0.4, -0.4) Thumbrotation:-133.0791
Time:138.7713 Axis vector:(-0.4, -0.4) Thumbrotation:-133.1301
Time:138.8719 Axis vector:(-0.4, -0.4) Thumbrotation:-133.1781
Time:138.9725 Axis vector:(-0.4, -0.4) Thumbrotation:-133.2133
Time:139.0733 Axis vector:(-0.4, -0.4) Thumbrotation:-133.1715
Time:139.1738 Axis vector:(-0.4, -0.4) Thumbrotation:-133.1131
Time:139.274 Axis vector:(-0.4, -0.4) Thumbrotation:-133.0329
Time:139.3745 Axis vector:(-0.4, -0.4) Thumbrotation:-132.9482
Time:139.4751 Axis vector:(-0.4, -0.4) Thumbrotation:-132.8075
Time:139.5756 Axis vector:(-0.4, -0.4) Thumbrotation:-132.8441
Time:139.6761 Axis vector:(-0.4, -0.4) Thumbrotation:-133.1405
Time:139.7766 Axis vector:(-0.4, -0.4) Thumbrotation:-133.3882
Time:139.8772 Axis vector:(-0.4, -0.4) Thumbrotation:-133.7075
Time:139.9778 Axis vector:(-0.4, -0.4) Thumbrotation:-133.9646
Time:140.0782 Axis vector:(-0.4, -0.4) Thumbrotation:-134.2177
Time:140.1787 Axis vector:(-0.4, -0.4) Thumbrotation:-134.4274
Time:140.2798 Axis vector:(-0.4, -0.4) Thumbrotation:-134.5847
Time:140.3805 Axis vector:(-0.4, -0.4) Thumbrotation:-134.4633
Time:140.4805 Axis vector:(-0.5, -0.5) Thumbrotation:-136.0411
Start time:0.2085924
Start time:0.2117209
Time:48.07704 Axis vector:(-0.3, -0.1) Thumbrotation:-99.65287
Time:60.06239 Axis vector:(-0.2, 0.4) Thumbrotation:-19.85694
Time:60.17422 Axis vector:(-0.2, 0.4) Thumbrotation:-22.58513
Time:60.27442 Axis vector:(-0.2, 0.4) Thumbrotation:-24.65462
Time:60.37485 Axis vector:(-0.2, 0.4) Thumbrotation:-25.88623
Time:60.47551 Axis vector:(-0.2, 0.4) Thumbrotation:-26.44689
Time:60.57598 Axis vector:(-0.2, 0.4) Thumbrotation:-26.78862
Time:60.67657 Axis vector:(-0.2, 0.4) Thumbrotation:-26.9659
Time:73.16439 Axis vector:(0.1, -0.3) Thumbrotation:157.2879
Time:73.26492 Axis vector:(0.1, -0.2) Thumbrotation:149.8633
Time:73.36539 Axis vector:(0.0, -0.3) Thumbrotation:175.8939
Time:73.46582 Axis vector:(-0.2, -0.3) Thumbrotation:-141.7265
Time:73.66695 Axis vector:(-0.4, -0.3) Thumbrotation:-131.4378
Time:73.76751 Axis vector:(-0.4, -0.3) Thumbrotation:-130.2852
Time:73.86833 Axis vector:(-0.4, -0.3) Thumbrotation:-127.7881
Time:73.96864 Axis vector:(-0.4, -0.3) Thumbrotation:-127.5436
Time:74.06944 Axis vector:(-0.4, -0.3) Thumbrotation:-129.3415
Time:74.16951 Axis vector:(-0.4, -0.3) Thumbrotation:-130.6916
Time:74.2701 Axis vector:(-0.4, -0.3) Thumbrotation:-131.2
Time:74.37069 Axis vector:(-0.4, -0.3) Thumbrotation:-131.3822
Time:74.47145 Axis vector:(-0.4, -0.3) Thumbrotation:-131.4361
Time:74.57166 Axis vector:(-0.4, -0.3) Thumbrotation:-131.5077
Time:74.67206 Axis vector:(-0.4, -0.3) Thumbrotation:-131.0845
Time:74.77266 Axis vector:(-0.4, -0.3) Thumbrotation:-130.3502
Time:74.87336 Axis vector:(-0.4, -0.3) Thumbrotation:-130.0281
Time:74.97376 Axis vector:(-0.4, -0.3) Thumbrotation:-130.2146
Time:75.0742 Axis vector:(-0.4, -0.3) Thumbrotation:-130.4911
Time:75.17471 Axis vector:(-0.4, -0.3) Thumbrotation:-130.7379
Time:75.27527 Axis vector:(-0.4, -0.3) Thumbrotation:-131.0137
Time:75.37578 Axis vector:(-0.4, -0.3) Thumbrotation:-131.2083
Time:75.47665 Axis vector:(-0.4, -0.3) Thumbrotation:-131.3582
Time:75.5769 Axis vector:(-0.4, -0.3) Thumbrotation:-131.4679
Time:75.67766 Axis vector:(-0.4, -0.3) Thumbrotation:-131.5714
Time:75.7779 Axis vector:(-0.4, -0.3) Thumbrotation:-131.9807
Time:75.87851 Axis vector:(-0.4, -0.4) Thumbrotation:-132.6739
Time:75.97886 Axis vector:(-0.4, -0.4) Thumbrotation:-133.4184
Time:76.07968 Axis vector:(-0.4, -0.4) Thumbrotation:-134.2875
Time:76.18013 Axis vector:(-0.4, -0.4) Thumbrotation:-134.7191
Time:76.28058 Axis vector:(-0.4, -0.4) Thumbrotation:-134.9095
Time:76.38116 Axis vector:(-0.4, -0.4) Thumbrotation:-135.0301
Time:76.48179 Axis vector:(-0.4, -0.4) Thumbrotation:-135.1592
Time:76.58235 Axis vector:(-0.4, -0.3) Thumbrotation:-134.4474
Time:76.68274 Axis vector:(-0.5, -0.3) Thumbrotation:-119.5931
Time:84.13297 Axis vector:(-0.4, 0.4) Thumbrotation:-45.70009
Time:84.23389 Axis vector:(-0.4, 0.3) Thumbrotation:-55.63568
Time:84.33395 Axis vector:(-0.4, 0.2) Thumbrotation:-61.96672
Time:84.43459 Axis vector:(-0.5, 0.2) Thumbrotation:-67.58945
Time:84.53501 Axis vector:(-0.5, 0.1) Thumbrotation:-73.99786
Time:84.63554 Axis vector:(-0.5, 0.1) Thumbrotation:-77.2738
Time:84.73635 Axis vector:(-0.5, 0.1) Thumbrotation:-80.01767
Time:84.83653 Axis vector:(-0.5, 0.1) Thumbrotation:-83.07249
Time:84.93709 Axis vector:(-0.5, 0.0) Thumbrotation:-85.62431
Time:85.03766 Axis vector:(-0.4, 0.0) Thumbrotation:-88.8362
Time:85.13821 Axis vector:(-0.4, 0.0) Thumbrotation:-92.62786
Time:85.23882 Axis vector:(-0.4, 0.0) Thumbrotation:-94.45527
Time:85.33978 Axis vector:(-0.4, 0.0) Thumbrotation:-94.20736
Time:85.44 Axis vector:(-0.4, 0.0) Thumbrotation:-89.86532
Time:85.54025 Axis vector:(-0.5, 0.1) Thumbrotation:-83.29993
Time:85.64082 Axis vector:(-0.8, 0.0) Thumbrotation:-93.0138
Time:85.74163 Axis vector:(-0.9, -0.1) Thumbrotation:-97.40932
Time:85.84182 Axis vector:(-0.8, -0.3) Thumbrotation:-112.5739
Time:85.94231 Axis vector:(-0.6, -0.5) Thumbrotation:-130.5058
Time:86.04302 Axis vector:(-0.3, -0.7) Thumbrotation:-154.5747
Time:86.14337 Axis vector:(0.2, -0.9) Thumbrotation:168.7899
Time:86.24393 Axis vector:(0.3, -0.9) Thumbrotation:164.3418
Time:86.34491 Axis vector:(0.3, -0.9) Thumbrotation:159.7777
Time:86.44497 Axis vector:(0.7, -0.5) Thumbrotation:128.7692
Time:86.54583 Axis vector:(0.8, -0.3) Thumbrotation:113.5226
Time:86.64647 Axis vector:(0.8, -0.2) Thumbrotation:103.6261
Time:86.74663 Axis vector:(0.9, -0.1) Thumbrotation:95.33194
Time:86.84718 Axis vector:(0.9, 0.0) Thumbrotation:87.7661
Time:86.94765 Axis vector:(0.9, 0.1) Thumbrotation:86.64014
Time:87.04823 Axis vector:(0.9, 0.1) Thumbrotation:86.42482
Time:87.14871 Axis vector:(0.9, 0.1) Thumbrotation:86.38251
Time:87.24943 Axis vector:(0.9, 0.1) Thumbrotation:85.17885
Time:87.34977 Axis vector:(0.8, 0.1) Thumbrotation:82.91344
Time:87.45072 Axis vector:(0.8, 0.1) Thumbrotation:81.24185
Time:87.5509 Axis vector:(0.8, 0.1) Thumbrotation:80.72823
Time:87.65138 Axis vector:(0.8, 0.1) Thumbrotation:80.55977
Time:87.75195 Axis vector:(0.8, 0.1) Thumbrotation:80.52766
Time:87.85258 Axis vector:(0.8, 0.1) Thumbrotation:80.53708
Time:87.95304 Axis vector:(0.8, 0.1) Thumbrotation:80.56255
Time:88.05335 Axis vector:(0.8, 0.1) Thumbrotation:80.58433
Time:88.1542 Axis vector:(0.8, 0.1) Thumbrotation:80.59412
Time:88.25454 Axis vector:(0.8, 0.1) Thumbrotation:80.60767
Time:88.35503 Axis vector:(0.8, 0.1) Thumbrotation:80.73346
Time:88.45583 Axis vector:(0.8, 0.1) Thumbrotation:81.53011
Time:88.5561 Axis vector:(0.8, 0.1) Thumbrotation:84.02724
Time:88.65661 Axis vector:(0.8, 0.1) Thumbrotation:85.06561
Time:88.75729 Axis vector:(0.8, 0.0) Thumbrotation:89.23975
Time:88.8577 Axis vector:(0.8, 0.0) Thumbrotation:92.31642
Time:88.95825 Axis vector:(0.8, 0.0) Thumbrotation:92.90408
Time:89.05891 Axis vector:(0.8, 0.0) Thumbrotation:93.16015
Time:89.1594 Axis vector:(0.8, 0.0) Thumbrotation:93.29623
Time:89.25993 Axis vector:(0.8, 0.0) Thumbrotation:93.3882
Time:89.36026 Axis vector:(0.8, 0.0) Thumbrotation:93.45221
