Start time:0.2050475
Start time:0.1293009
Start time:0.2259058
Start time:0.1436359
Time:15.79866 Axis vector:(-0.5, -0.1) Thumbrotation:-105.4822
Time:15.89932 Axis vector:(-0.3, 0.0) Thumbrotation:-98.34354
Time:15.99977 Axis vector:(-0.3, -0.1) Thumbrotation:-104.222
Time:16.10019 Axis vector:(-0.2, 0.0) Thumbrotation:-78.32211
Time:16.20099 Axis vector:(-0.2, 0.0) Thumbrotation:-80.44399
Time:16.30138 Axis vector:(-0.2, 0.0) Thumbrotation:-81.49396
Time:16.40183 Axis vector:(-0.2, 0.0) Thumbrotation:-79.89896
Time:16.50233 Axis vector:(-0.2, 0.0) Thumbrotation:-77.71919
Time:16.60287 Axis vector:(-0.2, 0.1) Thumbrotation:-58.59468
Time:16.70329 Axis vector:(-0.1, 0.1) Thumbrotation:-45.6851
Time:16.80407 Axis vector:(-0.1, 0.1) Thumbrotation:-44.23196
Time:16.90435 Axis vector:(-0.1, 0.1) Thumbrotation:-42.87566
Time:17.00506 Axis vector:(-0.1, 0.1) Thumbrotation:-45.35066
Time:17.1055 Axis vector:(-0.1, 0.1) Thumbrotation:-55.51166
Time:17.206 Axis vector:(-0.1, 0.1) Thumbrotation:-57.45234
Time:17.30674 Axis vector:(-0.1, 0.1) Thumbrotation:-67.36204
Time:17.40707 Axis vector:(-0.2, -0.1) Thumbrotation:-122.0631
Time:20.52372 Axis vector:(-0.3, 0.5) Thumbrotation:-31.53206
Time:20.62398 Axis vector:(-0.4, 0.5) Thumbrotation:-39.68978
Time:20.72464 Axis vector:(-0.4, 0.5) Thumbrotation:-42.35485
Time:20.82505 Axis vector:(-0.3, 0.6) Thumbrotation:-27.97859
Time:20.92545 Axis vector:(-0.3, 0.7) Thumbrotation:-23.14056
Time:21.026 Axis vector:(-0.3, 0.7) Thumbrotation:-21.42528
Time:21.12654 Axis vector:(-0.3, 0.6) Thumbrotation:-21.51276
Time:21.22713 Axis vector:(-0.3, 0.6) Thumbrotation:-21.77816
