Time:0.2015705 Eyes position:(0.0, 0.9, -0.4) Camera rig position:(0.0, 0.0, 0.0) Eyes rotation:(0.0, 0.0, 0.0)
Time:0.4019958 Eyes position:(0.0, 0.9, -0.4) Camera rig position:(0.0, 0.0, 0.0) Eyes rotation:(0.0, 0.0, 0.0)
Time:0.6078728 Eyes position:(0.0, 0.9, -0.4) Camera rig position:(0.0, 0.0, 0.0) Eyes rotation:(0.0, 0.0, 0.0)
Time:0.8195246 Eyes position:(0.0, 0.9, -0.4) Camera rig position:(0.0, 0.0, 0.0) Eyes rotation:(0.0, 0.0, 0.0)
Time:1.020412 Eyes position:(0.0, 0.9, -0.4) Camera rig position:(0.0, 0.0, 0.0) Eyes rotation:(0.0, 0.0, 0.0)
Time:1.234921 Eyes position:(0.0, 0.9, -0.4) Camera rig position:(0.0, 0.0, 0.0) Eyes rotation:(0.0, 0.0, 0.0)
Time:1.438369 Eyes position:(0.0, 0.9, -0.4) Camera rig position:(0.0, 0.0, 0.0) Eyes rotation:(0.0, 0.0, 0.0)
Time:1.65259 Eyes position:(0.0, 0.9, -0.4) Camera rig position:(0.0, 0.0, 0.0) Eyes rotation:(0.0, 0.0, 0.0)
Time:1.853263 Eyes position:(0.0, 0.9, -0.4) Camera rig position:(0.0, 0.0, 0.0) Eyes rotation:(0.0, 0.0, 0.0)
Time:2.07149 Eyes position:(0.0, 0.9, -0.4) Camera rig position:(0.0, 0.0, 0.0) Eyes rotation:(0.0, 0.0, 0.0)
Time:2.286489 Eyes position:(0.0, 0.9, -0.4) Camera rig position:(0.0, 0.0, 0.0) Eyes rotation:(0.0, 0.0, 0.0)
Time:2.491019 Eyes position:(0.0, 0.9, -0.4) Camera rig position:(0.0, 0.0, 0.0) Eyes rotation:(0.0, 0.0, 0.0)
Time:2.705274 Eyes position:(0.0, 0.9, -0.4) Camera rig position:(0.0, 0.0, 0.0) Eyes rotation:(0.0, 0.0, 0.0)
Time:2.917323 Eyes position:(0.0, 0.9, -0.4) Camera rig position:(0.0, 0.0, 0.0) Eyes rotation:(0.0, 0.0, 0.0)
Time:3.120461 Eyes position:(0.0, 0.9, -0.4) Camera rig position:(0.0, 0.0, 0.0) Eyes rotation:(0.0, 0.0, 0.0)
Time:3.322167 Eyes position:(0.0, 0.9, -0.4) Camera rig position:(0.0, 0.0, 0.0) Eyes rotation:(0.0, 0.0, 0.0)
Time:3.537514 Eyes position:(0.0, 0.9, -0.4) Camera rig position:(0.0, 0.0, 0.0) Eyes rotation:(0.0, 0.0, 0.0)
Time:3.754157 Eyes position:(0.0, 0.9, -0.4) Camera rig position:(0.0, 0.0, 0.0) Eyes rotation:(0.0, 0.0, 0.0)
Time:3.954206 Eyes position:(0.0, 0.9, -0.4) Camera rig position:(0.0, 0.0, 0.0) Eyes rotation:(0.0, 0.0, 0.0)
Time:4.154452 Eyes position:(0.0, 0.9, -0.4) Camera rig position:(0.0, 0.0, 0.0) Eyes rotation:(0.0, 0.0, 0.0)
Time:4.360583 Eyes position:(0.0, 0.9, -0.4) Camera rig position:(0.0, 0.0, 0.0) Eyes rotation:(0.0, 0.0, 0.0)
Time:4.57343 Eyes position:(0.0, 0.9, -0.4) Camera rig position:(0.0, 0.0, 0.0) Eyes rotation:(0.0, 0.0, 0.0)
Time:4.774167 Eyes position:(0.0, 0.9, -0.4) Camera rig position:(0.0, 0.0, 0.0) Eyes rotation:(0.0, 0.0, 0.0)
Time:4.990183 Eyes position:(0.0, 0.9, -0.4) Camera rig position:(0.0, 0.0, 0.0) Eyes rotation:(0.0, 0.0, 0.0)
Time:5.190509 Eyes position:(0.0, 0.9, -0.4) Camera rig position:(0.0, 0.0, 0.0) Eyes rotation:(0.0, 0.0, 0.0)
