Time:0.3519855 Eyes position:(0.0, 0.9, -0.4) Camera rig position:(0.0, 0.0, 0.0) Eyes rotation:(0.0, 0.0, 0.0)
Time:0.5844439 Eyes position:(0.0, 0.9, -0.4) Camera rig position:(0.0, 0.0, 0.0) Eyes rotation:(0.0, 0.0, 0.0)
Time:0.7956749 Eyes position:(0.0, 0.9, -0.4) Camera rig position:(0.0, 0.0, 0.0) Eyes rotation:(0.0, 0.0, 0.0)
Time:1.010868 Eyes position:(0.0, 0.9, -0.4) Camera rig position:(0.0, 0.0, 0.0) Eyes rotation:(0.0, 0.0, 0.0)
Time:1.226565 Eyes position:(0.0, 0.9, -0.4) Camera rig position:(0.0, 0.0, 0.0) Eyes rotation:(0.0, 0.0, 0.0)
Time:1.441346 Eyes position:(0.0, 0.9, -0.4) Camera rig position:(0.0, 0.0, 0.0) Eyes rotation:(0.0, 0.0, 0.0)
Time:1.646255 Eyes position:(0.0, 0.9, -0.4) Camera rig position:(0.0, 0.0, 0.0) Eyes rotation:(0.0, 0.0, 0.0)
Time:1.862163 Eyes position:(0.0, 0.9, -0.4) Camera rig position:(0.0, 0.0, 0.0) Eyes rotation:(0.0, 0.0, 0.0)
Time:2.076988 Eyes position:(0.0, 0.9, -0.4) Camera rig position:(0.0, 0.0, 0.0) Eyes rotation:(0.0, 0.0, 0.0)
Time:0.3533334 Eyes position:(0.0, 0.9, -0.4) Camera rig position:(0.0, 0.0, 0.0) Eyes rotation:(0.0, 0.0, 0.0)
Time:0.560849 Eyes position:(0.0, 0.9, -0.4) Camera rig position:(0.0, 0.0, 0.0) Eyes rotation:(0.0, 0.0, 0.0)
Time:0.790532 Eyes position:(0.0, 0.9, -0.4) Camera rig position:(0.0, 0.0, 0.0) Eyes rotation:(0.0, 0.0, 0.0)
Time:1.011297 Eyes position:(0.0, 0.9, -0.4) Camera rig position:(0.0, 0.0, 0.0) Eyes rotation:(0.0, 0.0, 0.0)
Time:1.230488 Eyes position:(0.0, 0.9, -0.4) Camera rig position:(0.0, 0.0, 0.0) Eyes rotation:(0.0, 0.0, 0.0)
Time:1.450643 Eyes position:(0.0, 0.9, -0.4) Camera rig position:(0.0, 0.0, 0.0) Eyes rotation:(0.0, 0.0, 0.0)
