Start time:0.3071694
Time:242.2235 Axis vector:(-0.5, 0.8) Thumbrotation:-30.23813
Time:242.3634 Axis vector:(-0.2, 0.9) Thumbrotation:-13.9725
Time:242.4824 Axis vector:(-0.1, 0.7) Thumbrotation:-10.76796
Time:242.6329 Axis vector:(-0.1, 0.7) Thumbrotation:-12.06539
Time:242.7604 Axis vector:(-0.2, 0.6) Thumbrotation:-13.90718
Time:242.8629 Axis vector:(-0.2, 0.6) Thumbrotation:-14.82448
Time:242.9655 Axis vector:(-0.2, 0.6) Thumbrotation:-15.08695
Time:243.0749 Axis vector:(-0.2, 0.6) Thumbrotation:-15.23574
Time:243.1887 Axis vector:(-0.2, 0.6) Thumbrotation:-15.40171
Time:243.3012 Axis vector:(-0.2, 0.6) Thumbrotation:-15.57754
Time:243.4213 Axis vector:(-0.2, 0.6) Thumbrotation:-15.71883
Time:243.5532 Axis vector:(-0.2, 0.6) Thumbrotation:-15.94628
Time:243.666 Axis vector:(-0.2, 0.6) Thumbrotation:-16.18104
Time:243.7714 Axis vector:(-0.2, 0.6) Thumbrotation:-16.28416
Time:243.9543 Axis vector:(-0.2, 0.6) Thumbrotation:-16.54373
Time:244.0688 Axis vector:(-0.2, 0.6) Thumbrotation:-16.67531
Time:244.2327 Axis vector:(-0.2, 0.6) Thumbrotation:-16.64753
Time:244.3911 Axis vector:(-0.2, 0.7) Thumbrotation:-15.6656
Time:247.6514 Axis vector:(-0.2, 0.2) Thumbrotation:-41.28203
Time:247.7844 Axis vector:(-0.5, 0.8) Thumbrotation:-34.44355
Time:247.9102 Axis vector:(-0.5, 0.7) Thumbrotation:-35.28153
Time:248.0449 Axis vector:(-0.5, 0.7) Thumbrotation:-35.90058
Time:248.1749 Axis vector:(-0.5, 0.7) Thumbrotation:-35.57228
Time:248.2907 Axis vector:(-0.5, 0.6) Thumbrotation:-37.0364
Time:248.4036 Axis vector:(-0.4, 0.6) Thumbrotation:-37.28563
Time:248.5153 Axis vector:(-0.4, 0.6) Thumbrotation:-37.22882
Time:248.6229 Axis vector:(-0.4, 0.6) Thumbrotation:-36.10032
Time:248.7252 Axis vector:(-0.4, 0.6) Thumbrotation:-35.10372
Time:248.8796 Axis vector:(-0.4, 0.6) Thumbrotation:-33.99381
Time:249.0048 Axis vector:(-0.4, 0.6) Thumbrotation:-33.60427
Time:249.1499 Axis vector:(-0.4, 0.6) Thumbrotation:-33.70369
Time:249.2503 Axis vector:(-0.4, 0.6) Thumbrotation:-32.45922
Time:249.3614 Axis vector:(-0.4, 0.6) Thumbrotation:-31.95388
Time:249.4626 Axis vector:(-0.4, 0.6) Thumbrotation:-32.27728
Time:249.5724 Axis vector:(-0.4, 0.6) Thumbrotation:-32.61706
Time:249.6975 Axis vector:(-0.4, 0.6) Thumbrotation:-32.80781
Time:249.8406 Axis vector:(-0.4, 0.6) Thumbrotation:-32.67614
Time:249.9424 Axis vector:(-0.4, 0.6) Thumbrotation:-32.24882
Time:250.0428 Axis vector:(-0.4, 0.6) Thumbrotation:-32.053
Time:250.1674 Axis vector:(-0.3, 0.6) Thumbrotation:-29.74224
Time:250.3101 Axis vector:(0.0, 0.6) Thumbrotation:3.268723
Time:250.4425 Axis vector:(0.1, 0.7) Thumbrotation:6.825214
Time:250.5671 Axis vector:(0.1, 0.7) Thumbrotation:6.863671
Time:250.7028 Axis vector:(0.2, 0.7) Thumbrotation:16.85958
Time:250.8117 Axis vector:(0.3, 0.7) Thumbrotation:24.28412
Time:250.9252 Axis vector:(0.3, 0.7) Thumbrotation:24.01317
Time:251.0367 Axis vector:(0.3, 0.7) Thumbrotation:23.9164
Time:251.1522 Axis vector:(0.6, 0.6) Thumbrotation:46.66808
Time:251.318 Axis vector:(0.8, 0.1) Thumbrotation:82.36275
Time:251.463 Axis vector:(0.8, -0.3) Thumbrotation:109.6572
Time:251.5634 Axis vector:(0.7, -0.5) Thumbrotation:125.7992
Time:251.7083 Axis vector:(0.5, -0.8) Thumbrotation:149.47
Time:251.9803 Axis vector:(0.3, -1.0) Thumbrotation:163.6834
Time:252.1113 Axis vector:(0.1, -1.0) Thumbrotation:171.5202
Time:252.2696 Axis vector:(0.1, -1.0) Thumbrotation:172.5176
Time:252.3894 Axis vector:(0.1, -1.0) Thumbrotation:173.0974
Time:253.08 Axis vector:(-0.4, 0.5) Thumbrotation:-42.14101
Time:253.1802 Axis vector:(-0.4, 0.4) Thumbrotation:-39.91926
Time:253.2807 Axis vector:(-0.3, 0.4) Thumbrotation:-37.03112
Time:253.3815 Axis vector:(-0.3, 0.4) Thumbrotation:-33.56385
Time:253.4825 Axis vector:(-0.3, 0.4) Thumbrotation:-31.6484
Time:253.5845 Axis vector:(-0.3, 0.4) Thumbrotation:-31.35834
Time:253.685 Axis vector:(-0.3, 0.4) Thumbrotation:-31.42759
Time:253.8177 Axis vector:(-0.2, 0.4) Thumbrotation:-24.97996
Time:253.9192 Axis vector:(-0.1, 0.4) Thumbrotation:-19.33964
Time:254.0196 Axis vector:(-0.1, 0.4) Thumbrotation:-20.20443
Time:254.142 Axis vector:(-0.2, 0.4) Thumbrotation:-25.97235
Time:254.2646 Axis vector:(-0.2, 0.4) Thumbrotation:-28.2279
Time:254.3652 Axis vector:(-0.2, 0.4) Thumbrotation:-28.85586
Time:254.4655 Axis vector:(-0.2, 0.4) Thumbrotation:-29.04924
Time:254.5659 Axis vector:(-0.2, 0.4) Thumbrotation:-29.13823
Time:254.6666 Axis vector:(-0.2, 0.4) Thumbrotation:-30.1606
Time:254.7894 Axis vector:(-0.2, 0.4) Thumbrotation:-33.15079
Time:254.9121 Axis vector:(-0.3, 0.4) Thumbrotation:-36.76196
Time:255.0355 Axis vector:(-0.3, 0.3) Thumbrotation:-38.4954
Time:255.1365 Axis vector:(-0.3, 0.3) Thumbrotation:-39.01127
Time:255.2368 Axis vector:(-0.3, 0.3) Thumbrotation:-39.16508
Time:255.3595 Axis vector:(-0.3, 0.3) Thumbrotation:-38.2051
Time:255.4597 Axis vector:(-0.2, 0.3) Thumbrotation:-35.59002
Time:255.5651 Axis vector:(-0.2, 0.4) Thumbrotation:-26.85852
Time:255.6975 Axis vector:(-0.1, 0.4) Thumbrotation:-22.47651
Time:255.7984 Axis vector:(-0.1, 0.4) Thumbrotation:-20.9611
Time:262.6105 Axis vector:(-0.2, 0.5) Thumbrotation:-17.73032
Time:262.7224 Axis vector:(-0.1, 0.4) Thumbrotation:-18.35695
Time:262.8684 Axis vector:(-0.1, 0.4) Thumbrotation:-19.23309
Time:262.9803 Axis vector:(-0.1, 0.4) Thumbrotation:-19.07153
Time:263.1032 Axis vector:(-0.1, 0.4) Thumbrotation:-18.98014
Time:263.2361 Axis vector:(-0.2, 0.4) Thumbrotation:-21.00127
Time:263.3709 Axis vector:(-0.2, 0.4) Thumbrotation:-23.20037
Time:263.4898 Axis vector:(-0.2, 0.4) Thumbrotation:-21.3029
Time:263.5938 Axis vector:(-0.1, 0.4) Thumbrotation:-16.84997
Time:263.696 Axis vector:(-0.1, 0.4) Thumbrotation:-7.943419
Time:263.8564 Axis vector:(0.0, 0.4) Thumbrotation:-3.413403
Time:263.966 Axis vector:(0.0, 0.4) Thumbrotation:4.019952
Time:264.0948 Axis vector:(0.1, 0.4) Thumbrotation:10.61409
Time:264.1969 Axis vector:(0.2, 0.4) Thumbrotation:21.39863
Time:264.348 Axis vector:(0.2, 0.4) Thumbrotation:23.68889
Time:264.4877 Axis vector:(0.2, 0.4) Thumbrotation:23.40019
Time:264.6269 Axis vector:(0.2, 0.4) Thumbrotation:23.07063
Time:264.7571 Axis vector:(0.2, 0.4) Thumbrotation:21.88409
Time:264.87 Axis vector:(0.2, 0.4) Thumbrotation:21.11913
Time:265.0244 Axis vector:(0.2, 0.4) Thumbrotation:20.50602
Start time:0.3533334
Start time:0.3533334
Time:34.56251 Axis vector:(-0.4, 0.9) Thumbrotation:-26.63073
Time:34.74337 Axis vector:(-0.3, 0.9) Thumbrotation:-15.54128
Time:34.91185 Axis vector:(-0.1, 0.9) Thumbrotation:-6.788303
Time:35.0948 Axis vector:(-0.1, 0.9) Thumbrotation:-4.255147
Time:35.2598 Axis vector:(-0.1, 0.8) Thumbrotation:-4.373854
Time:35.43689 Axis vector:(-0.1, 0.8) Thumbrotation:-4.753821
Time:35.61248 Axis vector:(-0.1, 0.8) Thumbrotation:-4.760163
Time:35.78194 Axis vector:(-0.1, 0.8) Thumbrotation:-4.565874
Time:35.95118 Axis vector:(-0.1, 0.8) Thumbrotation:-4.346498
Time:36.13041 Axis vector:(-0.1, 0.8) Thumbrotation:-4.322052
Time:36.30129 Axis vector:(-0.1, 0.8) Thumbrotation:-4.628043
Time:36.4656 Axis vector:(-0.1, 0.7) Thumbrotation:-6.274949
Time:36.64713 Axis vector:(-0.1, 0.7) Thumbrotation:-6.976877
Time:36.82757 Axis vector:(-0.1, 0.7) Thumbrotation:-7.531347
Time:36.9334 Axis vector:(-0.1, 0.7) Thumbrotation:-8.38258
Time:37.08508 Axis vector:(-0.1, 0.8) Thumbrotation:-9.286519
Time:37.23801 Axis vector:(-0.1, 0.8) Thumbrotation:-9.58585
Time:37.40757 Axis vector:(-0.1, 0.8) Thumbrotation:-9.538504
Time:37.56799 Axis vector:(-0.1, 0.8) Thumbrotation:-9.49492
Time:37.7232 Axis vector:(-0.1, 0.8) Thumbrotation:-9.458082
Time:37.86814 Axis vector:(-0.1, 0.8) Thumbrotation:-9.421413
Time:38.02615 Axis vector:(-0.1, 0.8) Thumbrotation:-9.380539
Time:38.20854 Axis vector:(-0.1, 0.8) Thumbrotation:-9.295953
Time:38.38723 Axis vector:(-0.1, 0.8) Thumbrotation:-9.210681
Time:38.55365 Axis vector:(-0.1, 0.8) Thumbrotation:-9.131595
